version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 1 834891 5.36387e+06 24220.4 159823 911.646 36143
baseline sum_reduce 20 2 192 64 1 857483 5.42956e+06 23241.1 96456 819.151 5666
baseline sum_reduce 20 2 192 64 1 822438 1.27173e+06 34320.1 4.18994e+06 807.857 3243
baseline sum_reduce 20 2 192 64 1 827824 1.31359e+06 34120.5 4.04757e+06 840.227 7632
baseline sum_reduce 20 2 192 64 1 856038 1.3221e+06 34535.5 4.15389e+06 840.956 5843
baseline sum_reduce 20 2 192 64 1 853465 5.51536e+06 45830.8 4.12468e+06 885.875 11810
baseline sum_reduce 20 2 192 64 1 839056 1.25645e+06 33364.7 4.01916e+06 850.245 10150
baseline sum_reduce 20 2 192 64 1 849125 1.45738e+06 33365.7 3.98453e+06 832.727 5743
baseline sum_reduce 20 2 192 64 1 858098 5.41815e+06 23029.3 156136 891.497 23516
baseline sum_reduce 20 2 192 64 1 862731 5.41698e+06 33654.5 4.21998e+06 858.406 21011
baseline sum_reduce 20 2 192 64 1 831025 1.4015e+06 33816.3 4.0223e+06 832.378 5775
baseline sum_reduce 20 2 192 64 1 844504 5.48627e+06 23181.4 142437 840.891 9311
baseline sum_reduce 20 2 192 64 1 814623 1.29997e+06 45136.8 4.22679e+06 819.146 3331
baseline sum_reduce 20 2 192 64 1 836734 1.26516e+06 34044.9 4.12299e+06 835.997 5471
baseline sum_reduce 20 2 192 64 1 859203 1.42748e+06 34276.7 4.20234e+06 828.154 5046
baseline sum_reduce 20 2 192 64 1 840948 1.30395e+06 34413.1 4.15859e+06 849.922 7333
baseline sum_reduce 20 2 192 64 1 849072 1.33738e+06 34286.5 4.09764e+06 897.094 28979
baseline sum_reduce 20 2 192 64 1 839883 1.29427e+06 33849.3 4.16052e+06 857.945 5567
baseline sum_reduce 20 2 192 64 1 852198 1.3893e+06 33981.3 4.04994e+06 868.031 12123
baseline sum_reduce 20 2 192 64 1 834247 1.37782e+06 45520 4.22548e+06 840.297 5629
baseline sum_reduce 20 2 192 64 2 856038 1.38732e+06 33435.3 4.17228e+06 1184.21 3327
baseline sum_reduce 20 2 192 64 2 858785 5.50021e+06 23916.9 117645 1178.23 3613
baseline sum_reduce 20 2 192 64 2 839599 5.50104e+06 35153 4.18832e+06 1206.77 7419
baseline sum_reduce 20 2 192 64 2 859785 5.62541e+06 24509.1 128333 1173.8 5935
baseline sum_reduce 20 2 192 64 2 867862 5.55416e+06 23406.1 120543 1160.82 2415
baseline sum_reduce 20 2 192 64 2 854603 1.48167e+06 34026 4.12215e+06 1270.93 31333
baseline sum_reduce 20 2 192 64 2 850299 5.55213e+06 23053.4 100582 1271.41 32587
baseline sum_reduce 20 2 192 64 2 843903 1.32574e+06 34040.8 4.22717e+06 1253.13 24354
baseline sum_reduce 20 2 192 64 2 847060 5.5825e+06 24380.6 134000 1250.87 22071
baseline sum_reduce 20 2 192 64 2 826560 1.28778e+06 34499.6 4.14439e+06 1221.78 11466
baseline sum_reduce 20 2 192 64 2 843685 1.35838e+06 46652.2 4.25785e+06 1222.86 7164
baseline sum_reduce 20 2 192 64 2 874530 5.4393e+06 24175.3 131006 1189.54 5238
baseline sum_reduce 20 2 192 64 2 854055 1.41808e+06 45796.4 4.2833e+06 1196.2 6100
baseline sum_reduce 20 2 192 64 2 847463 1.363e+06 44353.3 4.20816e+06 1226.37 8640
baseline sum_reduce 20 2 192 64 2 886721 1.36957e+06 33510.5 4.10798e+06 1170.83 3933
baseline sum_reduce 20 2 192 64 2 839855 1.44462e+06 34151.9 4.16204e+06 1200.87 6265
baseline sum_reduce 20 2 192 64 2 839054 1.31375e+06 34751.2 4.27486e+06 1210.37 4807
