version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 1 853474 5.55854e+06 23719.5 115081 825.26 10349
baseline sum_reduce 20 2 192 64 1 855589 1.38458e+06 33874.8 4.15398e+06 856.297 15245
baseline sum_reduce 20 2 192 64 1 833123 1.37397e+06 33408.6 4.09396e+06 837.013 4184
baseline sum_reduce 20 2 192 64 1 847556 1.33887e+06 34600.2 4.01217e+06 891.719 26221
baseline sum_reduce 20 2 192 64 1 847676 1.39881e+06 44730.3 4.20979e+06 823.862 6704
baseline sum_reduce 20 2 192 64 1 844161 5.4334e+06 45615.4 4.23549e+06 812.698 3648
baseline sum_reduce 20 2 192 64 1 830912 1.31226e+06 35446.2 4.11071e+06 861.872 10073
baseline sum_reduce 20 2 192 64 1 869056 1.43605e+06 34102.4 4.11201e+06 836.734 4698
baseline sum_reduce 20 2 192 64 1 840420 1.36295e+06 34079.6 4.06868e+06 814.344 2387
baseline sum_reduce 20 2 192 64 1 849706 1.40923e+06 34743.6 4.16196e+06 853.068 7697
baseline sum_reduce 20 2 192 64 1 843378 5.52117e+06 23496.4 136448 828.474 3345
baseline sum_reduce 20 2 192 64 1 851498 1.38429e+06 33176.9 4.16362e+06 825.596 3500
baseline sum_reduce 20 2 192 64 1 851700 1.27553e+06 34876.9 4.11273e+06 829.331 4185
baseline sum_reduce 20 2 192 64 1 840575 1.33911e+06 44962.9 4.1911e+06 836.638 4264
baseline sum_reduce 20 2 192 64 1 841041 1.29561e+06 33472.9 4.02348e+06 800.427 2330
baseline sum_reduce 20 2 192 64 1 840928 1.40223e+06 34107.1 4.15282e+06 832.615 4473
baseline sum_reduce 20 2 192 64 1 825356 1.36208e+06 34357.7 4.08567e+06 833.07 3839
baseline sum_reduce 20 2 192 64 1 847003 5.30848e+06 34169.3 4.04627e+06 798.904 2430
baseline sum_reduce 20 2 192 64 1 837412 1.44525e+06 45791.8 4.22936e+06 848.602 7359
baseline sum_reduce 20 2 192 64 1 880125 5.61066e+06 23040.8 111360 820.193 2780
baseline sum_reduce 20 2 192 64 2 870966 1.33284e+06 34391.3 4.19255e+06 1208.43 5570
baseline sum_reduce 20 2 192 64 2 842552 1.39115e+06 33078.6 4.11368e+06 1182.7 2557
baseline sum_reduce 20 2 192 64 2 847207 1.37025e+06 34782.2 4.10527e+06 1204.99 3870
baseline sum_reduce 20 2 192 64 2 833062 1.30709e+06 45583.5 4.30887e+06 1179.8 5189
baseline sum_reduce 20 2 192 64 2 863396 1.40594e+06 34552 4.23182e+06 1225.39 21950
baseline sum_reduce 20 2 192 64 2 852284 1.31058e+06 34372.6 4.12631e+06 1270.08 12323
baseline sum_reduce 20 2 192 64 2 849970 1.33696e+06 35136.6 4.19683e+06 1179.88 6355
baseline sum_reduce 20 2 192 64 2 853404 1.40796e+06 56887.5 4.30938e+06 1194.29 3684
baseline sum_reduce 20 2 192 64 2 854961 1.41704e+06 46544.3 4.2654e+06 1211.87 15982
baseline sum_reduce 20 2 192 64 2 849243 5.42123e+06 46050.9 4.11474e+06 1198.09 7981
baseline sum_reduce 20 2 192 64 2 864899 5.47485e+06 22682 112789 1181.76 6251
baseline sum_reduce 20 2 192 64 2 857554 1.4474e+06 35141.1 4.16612e+06 1204.53 6016
baseline sum_reduce 20 2 192 64 2 871257 1.33494e+06 34214.4 4.09486e+06 1199.04 10819
baseline sum_reduce 20 2 192 64 2 859679 1.43483e+06 45344.7 4.20526e+06 1197.26 11706
baseline sum_reduce 20 2 192 64 2 862711 5.70176e+06 23767 108258 1238.84 10416
baseline sum_reduce 20 2 192 64 2 839072 1.37537e+06 33706.6 4.07724e+06 1193.17 5900
baseline sum_reduce 20 2 192 64 2 859010 5.35023e+06 23519 170179 1174.96 2882
baseline sum_reduce 20 2 192 64 2 861884 5.55877e+06 34009.1 4.25303e+06 1159.95 2676
baseline sum_reduce 20 2 192 64 2 838632 1.45992e+06 33766.2 4.0271e+06 1160.64 2589
baseline sum_reduce 20 2 192 64 2 877532 1.43892e+06 34151.6 4.19833e+06 1208.32 14686
baseline sum_reduce 20 2 192 64 4 861562 1.3552e+06 45692.5 4.17365e+06 1193.84 6966
baseline sum_reduce 20 2 192 64 4 872167 5.37724e+06 34362.7 4.04043e+06 1167.85 6674
baseline sum_reduce 20 2 192 64 4 863777 5.47608e+06 24564.3 125139 1221.03 24949
baseline sum_reduce 20 2 192 64 4 844368 1.32873e+06 35343.2 4.22563e+06 1165.39 8289
